,A_SUBMITTED,A_PARTLYSUBMITTED,A_PREACCEPTED,W_Completeren aanvraag,A_ACCEPTED,O_SELECTED,A_FINALIZED,O_CREATED,O_SENT,W_Nabellen offertes,O_SENT_BACK,W_Valideren aanvraag,A_REGISTERED,A_APPROVED,O_ACCEPTED,A_ACTIVATED,O_CANCELLED,A_DECLINED,A_CANCELLED,W_Afhandelen leads,O_DECLINED,W_Nabellen incomplete dossiers,W_Beoordelen fraude
A_SUBMITTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_PARTLYSUBMITTED,13087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_PREACCEPTED,0,4852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2515,0,0,0
W_Completeren aanvraag,0,0,7367,0,74,0,0,0,1,5018,0,0,0,0,0,0,0,1113,750,2517,0,0,6
A_ACCEPTED,0,0,0,5113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_SELECTED,0,0,0,28,2879,0,2108,0,0,839,0,0,0,0,0,0,1041,0,0,0,0,134,1
A_FINALIZED,0,0,0,19,2089,2907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_CREATED,0,0,0,0,0,3148,2907,0,0,1,0,0,0,0,0,0,974,0,0,0,0,0,0
O_SENT,0,0,0,0,0,0,0,7030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W_Nabellen offertes,0,0,0,5015,0,1,0,0,6633,0,3254,0,0,0,0,1,512,21,467,0,27,0,0
O_SENT_BACK,0,0,0,0,0,0,0,0,0,3254,0,0,0,0,0,0,0,0,0,0,0,200,0
W_Valideren aanvraag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_REGISTERED,0,0,0,0,0,0,0,0,0,103,0,0,0,682,771,546,0,0,0,0,0,143,1
A_APPROVED,0,0,0,0,0,0,0,0,0,255,0,0,581,0,654,478,0,0,0,0,0,276,2
O_ACCEPTED,0,0,0,0,0,0,0,0,0,553,0,0,332,474,0,192,0,0,0,0,0,688,4
A_ACTIVATED,0,0,0,0,0,0,0,0,0,94,0,0,670,789,566,0,0,0,0,0,0,124,3
O_CANCELLED,0,0,0,0,0,974,0,0,0,1625,0,0,0,0,0,0,0,0,864,0,0,192,0
A_DECLINED,0,3429,0,1088,25,0,0,0,0,286,0,0,0,0,0,0,0,0,0,2234,419,97,57
A_CANCELLED,0,0,0,1120,46,0,0,0,0,797,0,0,0,0,0,0,767,0,0,1,0,76,0
W_Afhandelen leads,0,4739,0,2517,0,0,0,0,0,0,0,0,0,0,0,0,0,2234,0,0,0,0,84
O_DECLINED,0,0,0,0,0,0,0,0,0,287,0,0,0,0,0,0,0,383,0,0,0,130,2
W_Nabellen incomplete dossiers,0,0,0,0,0,0,0,0,396,1493,200,0,58,26,22,89,70,50,57,0,36,0,20
W_Beoordelen fraude,0,67,0,7,0,0,0,0,0,33,0,0,0,0,0,0,0,57,0,73,0,0,0
