,A_SUBMITTED,A_PARTLYSUBMITTED,A_PREACCEPTED,W_Completeren aanvraag,A_ACCEPTED,O_SELECTED,A_FINALIZED,O_CREATED,O_SENT,W_Nabellen offertes,O_SENT_BACK,W_Valideren aanvraag,A_REGISTERED,A_APPROVED,O_ACCEPTED,A_ACTIVATED,O_CANCELLED,A_DECLINED,A_CANCELLED,W_Afhandelen leads,O_DECLINED,W_Nabellen incomplete dossiers,W_Beoordelen fraude
A_SUBMITTED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_PARTLYSUBMITTED,13087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A_PREACCEPTED,0,4852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2515,0,0,0
W_Completeren aanvraag,0,0,7367,0,74,0,0,0,3,4,0,0,0,0,0,0,0,0,34,0,0,0,2
A_ACCEPTED,0,0,0,5113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_SELECTED,0,0,0,28,2879,0,2108,0,0,768,0,107,0,0,0,0,1041,0,0,0,0,99,0
A_FINALIZED,0,0,0,19,2089,2907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O_CREATED,0,0,0,0,0,3149,2907,0,0,0,0,0,0,0,0,0,974,0,0,0,0,0,0
O_SENT,0,0,0,0,0,0,0,7030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W_Nabellen offertes,0,0,0,7,0,0,0,0,6621,0,1,0,0,0,0,1,33,0,34,0,0,0,0
O_SENT_BACK,0,0,0,0,0,0,0,0,0,3254,0,0,0,0,0,0,0,0,0,0,0,200,0
W_Valideren aanvraag,0,0,0,0,0,0,0,0,0,1,3407,0,0,1,0,1,0,0,1,0,0,1532,33
A_REGISTERED,0,0,0,0,0,0,0,0,0,0,0,228,0,682,771,546,0,0,0,0,0,19,0
A_APPROVED,0,0,0,0,0,0,0,0,0,0,0,489,581,0,654,478,0,0,0,0,0,44,0
O_ACCEPTED,0,0,0,0,0,0,0,0,0,0,0,1136,332,474,0,192,0,0,0,0,0,109,0
A_ACTIVATED,0,0,0,0,0,0,0,0,0,0,0,198,670,789,566,0,0,0,0,0,0,23,0
O_CANCELLED,0,0,0,0,0,974,0,0,0,1554,1,111,0,0,0,0,0,0,864,0,0,151,0
A_DECLINED,0,3429,0,1088,25,0,0,0,0,27,0,320,0,0,0,0,0,0,0,2234,419,36,57
A_CANCELLED,0,0,0,1120,46,0,0,0,0,788,0,13,0,0,0,0,767,0,0,1,0,72,0
W_Afhandelen leads,0,4739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
O_DECLINED,0,0,0,0,0,0,0,0,0,21,0,348,0,0,0,0,0,383,0,0,0,50,0
W_Nabellen incomplete dossiers,0,0,0,0,0,0,0,0,396,0,0,1983,1,0,0,1,0,0,0,0,0,0,0
W_Beoordelen fraude,0,67,0,3,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,21,0,0,0
